Series	Test_Fold	Model	Descriptors	Metric	Value
Unweighted	0	LogisticRegression	MACCS	HarmRS	0.54122
Weighted	2	LogisticRegression	MACCS	HarmRS	0.50311
Unweighted	2	LogisticRegression	MACCS	HarmRS	0.4935
Weighted	1	LogisticRegression	Klek	HarmRS	0.46165
Unweighted	1	LogisticRegression	Klek	HarmRS	0.42799
Weighted	4	LogisticRegression	Klek	HarmRS	0.57122
Unweighted	4	LogisticRegression	Klek	HarmRS	0.56967
Weighted	0	LogisticRegression	Klek	HarmRS	0.55383
Unweighted	0	LogisticRegression	Klek	HarmRS	0.54972
Weighted	3	LogisticRegression	Klek	HarmRS	0.52601
Unweighted	3	LogisticRegression	Klek	HarmRS	0.50114
Weighted	2	LogisticRegression	Klek	HarmRS	0.62513
Unweighted	2	LogisticRegression	Klek	HarmRS	0.59403
Weighted	3	LogisticRegression	ECFP	HarmRS	0.48866
Unweighted	3	LogisticRegression	ECFP	HarmRS	0.47356
Weighted	1	LogisticRegression	ECFP	HarmRS	0.54486
Unweighted	1	LogisticRegression	ECFP	HarmRS	0.5076
Weighted	4	LogisticRegression	ECFP	HarmRS	0.59009
Unweighted	4	LogisticRegression	ECFP	HarmRS	0.58294
Weighted	0	LogisticRegression	ECFP	HarmRS	0.5816
Unweighted	0	LogisticRegression	ECFP	HarmRS	0.56901
Weighted	2	LogisticRegression	ECFP	HarmRS	0.59381
Unweighted	2	LogisticRegression	ECFP	HarmRS	0.56124
Weighted	1	LogisticRegression	CDDD	HarmRS	0.4761
Unweighted	1	LogisticRegression	CDDD	HarmRS	0.47467
Weighted	3	LogisticRegression	CDDD	HarmRS	0.47361
Unweighted	3	LogisticRegression	CDDD	HarmRS	0.48292
Weighted	4	LogisticRegression	CDDD	HarmRS	0.54821
Unweighted	4	LogisticRegression	CDDD	HarmRS	0.52421
Weighted	0	LogisticRegression	CDDD	HarmRS	0.54478
Unweighted	0	LogisticRegression	CDDD	HarmRS	0.54753
Weighted	2	LogisticRegression	CDDD	HarmRS	0.53279
Unweighted	2	LogisticRegression	CDDD	HarmRS	0.52103
Weighted	4	RandomForestClassifier	ChemBERTa	HarmRS	0.55997
Unweighted	4	RandomForestClassifier	ChemBERTa	HarmRS	0.56475
Weighted	1	RandomForestClassifier	ChemBERTa	HarmRS	0.55201
Unweighted	1	RandomForestClassifier	ChemBERTa	HarmRS	0.53148
Weighted	0	RandomForestClassifier	ChemBERTa	HarmRS	0.45535
Unweighted	0	RandomForestClassifier	ChemBERTa	HarmRS	0.46108
Weighted	3	RandomForestClassifier	ChemBERTa	HarmRS	0.46478
Unweighted	3	RandomForestClassifier	ChemBERTa	HarmRS	0.46922
Weighted	2	RandomForestClassifier	ChemBERTa	HarmRS	0.57644
Unweighted	2	RandomForestClassifier	ChemBERTa	HarmRS	0.53342
Weighted	1	RandomForestClassifier	RDKit	HarmRS	0.54755
Unweighted	1	RandomForestClassifier	RDKit	HarmRS	0.52017
Weighted	3	RandomForestClassifier	RDKit	HarmRS	0.53588
Unweighted	3	RandomForestClassifier	RDKit	HarmRS	0.53758
Weighted	4	RandomForestClassifier	RDKit	HarmRS	0.57839
Unweighted	4	RandomForestClassifier	RDKit	HarmRS	0.57471
Weighted	0	RandomForestClassifier	RDKit	HarmRS	0.54198
Unweighted	0	RandomForestClassifier	RDKit	HarmRS	0.53401
Weighted	2	RandomForestClassifier	RDKit	HarmRS	0.60526
Unweighted	2	RandomForestClassifier	RDKit	HarmRS	0.59452
Weighted	1	RandomForestClassifier	MACCS	HarmRS	0.4849
Unweighted	1	RandomForestClassifier	MACCS	HarmRS	0.47348
Weighted	3	RandomForestClassifier	MACCS	HarmRS	0.51602
Unweighted	3	RandomForestClassifier	MACCS	HarmRS	0.50573
Weighted	4	RandomForestClassifier	MACCS	HarmRS	0.54037
Unweighted	4	RandomForestClassifier	MACCS	HarmRS	0.53398
Weighted	0	RandomForestClassifier	MACCS	HarmRS	0.52852
Unweighted	0	RandomForestClassifier	MACCS	HarmRS	0.50988
Weighted	2	RandomForestClassifier	MACCS	HarmRS	0.59957
Unweighted	2	RandomForestClassifier	MACCS	HarmRS	0.56347
Weighted	1	RandomForestClassifier	Klek	HarmRS	0.47862
Unweighted	1	RandomForestClassifier	Klek	HarmRS	0.46343
Weighted	3	RandomForestClassifier	Klek	HarmRS	0.57863
Unweighted	3	RandomForestClassifier	Klek	HarmRS	0.56595
Weighted	4	RandomForestClassifier	Klek	HarmRS	0.55058
Unweighted	4	RandomForestClassifier	Klek	HarmRS	0.55853
Weighted	0	RandomForestClassifier	Klek	HarmRS	0.53371
Unweighted	0	RandomForestClassifier	Klek	HarmRS	0.52938
Weighted	2	RandomForestClassifier	Klek	HarmRS	0.54709
Unweighted	2	RandomForestClassifier	Klek	HarmRS	0.54253
Weighted	3	RandomForestClassifier	ECFP	HarmRS	0.47983
Unweighted	3	RandomForestClassifier	ECFP	HarmRS	0.46908
Weighted	1	RandomForestClassifier	ECFP	HarmRS	0.44827
Unweighted	1	RandomForestClassifier	ECFP	HarmRS	0.43928
Weighted	4	RandomForestClassifier	ECFP	HarmRS	0.56067
Unweighted	4	RandomForestClassifier	ECFP	HarmRS	0.56592
Weighted	0	RandomForestClassifier	ECFP	HarmRS	0.5539
Unweighted	0	RandomForestClassifier	ECFP	HarmRS	0.54707
Weighted	2	RandomForestClassifier	ECFP	HarmRS	0.56798
Unweighted	2	RandomForestClassifier	ECFP	HarmRS	0.53641
Weighted	4	RandomForestClassifier	CDDD	HarmRS	0.58028
Unweighted	4	RandomForestClassifier	CDDD	HarmRS	0.56297
Weighted	0	RandomForestClassifier	CDDD	HarmRS	0.55013
Unweighted	0	RandomForestClassifier	CDDD	HarmRS	0.55105
Weighted	2	RandomForestClassifier	CDDD	HarmRS	0.59195
Unweighted	2	RandomForestClassifier	CDDD	HarmRS	0.57185
Weighted	3	RandomForestClassifier	CDDD	HarmRS	0.5711
Unweighted	3	RandomForestClassifier	CDDD	HarmRS	0.56584
Weighted	1	RandomForestClassifier	CDDD	HarmRS	0.54321
Unweighted	1	RandomForestClassifier	CDDD	HarmRS	0.51304
Weighted	1	XGBClassifier	ChemBERTa	ROC AUC	0.57545
Unweighted	1	XGBClassifier	ChemBERTa	ROC AUC	0.53925
Weighted	3	XGBClassifier	ChemBERTa	ROC AUC	0.56781
Unweighted	3	XGBClassifier	ChemBERTa	ROC AUC	0.5296
Weighted	4	XGBClassifier	ChemBERTa	ROC AUC	0.57746
Unweighted	4	XGBClassifier	ChemBERTa	ROC AUC	0.57063
Weighted	0	XGBClassifier	ChemBERTa	ROC AUC	0.53811
Unweighted	0	XGBClassifier	ChemBERTa	ROC AUC	0.5195
Weighted	2	XGBClassifier	ChemBERTa	ROC AUC	0.59863
Unweighted	2	XGBClassifier	ChemBERTa	ROC AUC	0.56228
Weighted	1	XGBClassifier	RDKit	ROC AUC	0.59113
Unweighted	1	XGBClassifier	RDKit	ROC AUC	0.55475
Weighted	3	XGBClassifier	RDKit	ROC AUC	0.59982
Unweighted	3	XGBClassifier	RDKit	ROC AUC	0.56595
Weighted	4	XGBClassifier	RDKit	ROC AUC	0.61543
Unweighted	4	XGBClassifier	RDKit	ROC AUC	0.59914
Weighted	0	XGBClassifier	RDKit	ROC AUC	0.59908
Unweighted	0	XGBClassifier	RDKit	ROC AUC	0.57786
Weighted	2	XGBClassifier	RDKit	ROC AUC	0.69592
Unweighted	2	XGBClassifier	RDKit	ROC AUC	0.6473
Weighted	1	XGBClassifier	MACCS	ROC AUC	0.5997
Unweighted	1	XGBClassifier	MACCS	ROC AUC	0.56
Weighted	3	XGBClassifier	MACCS	ROC AUC	0.6052
Unweighted	3	XGBClassifier	MACCS	ROC AUC	0.57821
Weighted	4	XGBClassifier	MACCS	ROC AUC	0.61511
Unweighted	4	XGBClassifier	MACCS	ROC AUC	0.58289
Weighted	0	XGBClassifier	MACCS	ROC AUC	0.56683
Unweighted	0	XGBClassifier	MACCS	ROC AUC	0.55486
Weighted	2	XGBClassifier	MACCS	ROC AUC	0.68979
Unweighted	2	XGBClassifier	MACCS	ROC AUC	0.6361
Weighted	1	XGBClassifier	Klek	ROC AUC	0.59769
Unweighted	1	XGBClassifier	Klek	ROC AUC	0.54084
Weighted	3	XGBClassifier	Klek	ROC AUC	0.62488
Unweighted	3	XGBClassifier	Klek	ROC AUC	0.57719
Weighted	4	XGBClassifier	Klek	ROC AUC	0.60712
Unweighted	4	XGBClassifier	Klek	ROC AUC	0.58681
Weighted	0	XGBClassifier	Klek	ROC AUC	0.58243
Unweighted	0	XGBClassifier	Klek	ROC AUC	0.56541
Weighted	2	XGBClassifier	Klek	ROC AUC	0.64116
Unweighted	2	XGBClassifier	Klek	ROC AUC	0.59107
Weighted	1	XGBClassifier	ECFP	ROC AUC	0.58097
Unweighted	1	XGBClassifier	ECFP	ROC AUC	0.54927
Weighted	3	XGBClassifier	ECFP	ROC AUC	0.5896
Unweighted	3	XGBClassifier	ECFP	ROC AUC	0.55528
Weighted	4	XGBClassifier	ECFP	ROC AUC	0.6088
Unweighted	4	XGBClassifier	ECFP	ROC AUC	0.60621
Weighted	0	XGBClassifier	ECFP	ROC AUC	0.62304
Unweighted	0	XGBClassifier	ECFP	ROC AUC	0.60353
Weighted	2	XGBClassifier	ECFP	ROC AUC	0.69134
Unweighted	2	XGBClassifier	ECFP	ROC AUC	0.63303
Weighted	1	XGBClassifier	CDDD	ROC AUC	0.57311
Unweighted	1	XGBClassifier	CDDD	ROC AUC	0.53449
Weighted	3	XGBClassifier	CDDD	ROC AUC	0.61698
Unweighted	3	XGBClassifier	CDDD	ROC AUC	0.57619
Weighted	4	XGBClassifier	CDDD	ROC AUC	0.63163
Unweighted	4	XGBClassifier	CDDD	ROC AUC	0.60175
Weighted	0	XGBClassifier	CDDD	ROC AUC	0.62802
Unweighted	0	XGBClassifier	CDDD	ROC AUC	0.59799
Weighted	2	XGBClassifier	CDDD	ROC AUC	0.67643
Unweighted	2	XGBClassifier	CDDD	ROC AUC	0.63172
Weighted	1	LogisticRegression	ChemBERTa	ROC AUC	0.47759
Unweighted	1	LogisticRegression	ChemBERTa	ROC AUC	0.4522
Weighted	0	LogisticRegression	ChemBERTa	ROC AUC	0.44816
Unweighted	0	LogisticRegression	ChemBERTa	ROC AUC	0.4495
Weighted	3	LogisticRegression	ChemBERTa	ROC AUC	0.53316
Unweighted	3	LogisticRegression	ChemBERTa	ROC AUC	0.50952
Weighted	2	LogisticRegression	ChemBERTa	ROC AUC	0.50028
Unweighted	2	LogisticRegression	ChemBERTa	ROC AUC	0.4998
Weighted	4	LogisticRegression	ChemBERTa	ROC AUC	0.46566
Unweighted	4	LogisticRegression	ChemBERTa	ROC AUC	0.48039
Weighted	3	LogisticRegression	RDKit	ROC AUC	0.56463
Unweighted	3	LogisticRegression	RDKit	ROC AUC	0.55106
Weighted	1	LogisticRegression	RDKit	ROC AUC	0.56117
Unweighted	1	LogisticRegression	RDKit	ROC AUC	0.52939
Weighted	4	LogisticRegression	RDKit	ROC AUC	0.58152
Unweighted	4	LogisticRegression	RDKit	ROC AUC	0.58336
Weighted	0	LogisticRegression	RDKit	ROC AUC	0.55465
Unweighted	0	LogisticRegression	RDKit	ROC AUC	0.54816
Weighted	2	LogisticRegression	RDKit	ROC AUC	0.65117
Unweighted	2	LogisticRegression	RDKit	ROC AUC	0.60751
Weighted	1	LogisticRegression	MACCS	ROC AUC	0.56562
Unweighted	1	LogisticRegression	MACCS	ROC AUC	0.54124
Weighted	3	LogisticRegression	MACCS	ROC AUC	0.54999
Unweighted	3	LogisticRegression	MACCS	ROC AUC	0.54156
Weighted	4	LogisticRegression	MACCS	ROC AUC	0.55823
Unweighted	4	LogisticRegression	MACCS	ROC AUC	0.54675
Weighted	0	LogisticRegression	MACCS	ROC AUC	0.55332
Unweighted	0	LogisticRegression	MACCS	ROC AUC	0.54185
Weighted	2	LogisticRegression	MACCS	ROC AUC	0.52798
Unweighted	2	LogisticRegression	MACCS	ROC AUC	0.50332
Weighted	1	LogisticRegression	Klek	ROC AUC	0.56596
Unweighted	1	LogisticRegression	Klek	ROC AUC	0.53107
Weighted	4	LogisticRegression	Klek	ROC AUC	0.59446
Unweighted	4	LogisticRegression	Klek	ROC AUC	0.58263
Weighted	0	LogisticRegression	Klek	ROC AUC	0.58906
Unweighted	0	LogisticRegression	Klek	ROC AUC	0.57653
Weighted	3	LogisticRegression	Klek	ROC AUC	0.52726
Unweighted	3	LogisticRegression	Klek	ROC AUC	0.49867
Weighted	2	LogisticRegression	Klek	ROC AUC	0.67782
Unweighted	2	LogisticRegression	Klek	ROC AUC	0.63165
Weighted	3	LogisticRegression	ECFP	ROC AUC	0.49347
Unweighted	3	LogisticRegression	ECFP	ROC AUC	0.48896
Weighted	1	LogisticRegression	ECFP	ROC AUC	0.57178
Unweighted	1	LogisticRegression	ECFP	ROC AUC	0.5416
Weighted	4	LogisticRegression	ECFP	ROC AUC	0.60823
Unweighted	4	LogisticRegression	ECFP	ROC AUC	0.60221
Weighted	0	LogisticRegression	ECFP	ROC AUC	0.6071
Unweighted	0	LogisticRegression	ECFP	ROC AUC	0.58625
Weighted	2	LogisticRegression	ECFP	ROC AUC	0.63084
Unweighted	2	LogisticRegression	ECFP	ROC AUC	0.58966
Weighted	1	LogisticRegression	CDDD	ROC AUC	0.54779
Unweighted	1	LogisticRegression	CDDD	ROC AUC	0.52165
Weighted	3	LogisticRegression	CDDD	ROC AUC	0.4955
Unweighted	3	LogisticRegression	CDDD	ROC AUC	0.50731
Weighted	4	LogisticRegression	CDDD	ROC AUC	0.59055
Unweighted	4	LogisticRegression	CDDD	ROC AUC	0.56175
Weighted	0	LogisticRegression	CDDD	ROC AUC	0.57922
Unweighted	0	LogisticRegression	CDDD	ROC AUC	0.56908
Weighted	2	LogisticRegression	CDDD	ROC AUC	0.58419
Unweighted	2	LogisticRegression	CDDD	ROC AUC	0.56261
Weighted	4	RandomForestClassifier	ChemBERTa	ROC AUC	0.53328
Unweighted	4	RandomForestClassifier	ChemBERTa	ROC AUC	0.54731
Weighted	1	RandomForestClassifier	ChemBERTa	ROC AUC	0.55075
Unweighted	1	RandomForestClassifier	ChemBERTa	ROC AUC	0.52449
Weighted	0	RandomForestClassifier	ChemBERTa	ROC AUC	0.57508
Unweighted	0	RandomForestClassifier	ChemBERTa	ROC AUC	0.54695
Weighted	3	RandomForestClassifier	ChemBERTa	ROC AUC	0.47228
Unweighted	3	RandomForestClassifier	ChemBERTa	ROC AUC	0.47782
Weighted	2	RandomForestClassifier	ChemBERTa	ROC AUC	0.62009
Unweighted	2	RandomForestClassifier	ChemBERTa	ROC AUC	0.56498
Weighted	1	RandomForestClassifier	RDKit	ROC AUC	0.57578
Unweighted	1	RandomForestClassifier	RDKit	ROC AUC	0.55268
Weighted	3	RandomForestClassifier	RDKit	ROC AUC	0.52168
Unweighted	3	RandomForestClassifier	RDKit	ROC AUC	0.52571
Weighted	4	RandomForestClassifier	RDKit	ROC AUC	0.60581
Unweighted	4	RandomForestClassifier	RDKit	ROC AUC	0.59697
Weighted	0	RandomForestClassifier	RDKit	ROC AUC	0.57942
Unweighted	0	RandomForestClassifier	RDKit	ROC AUC	0.55908
Weighted	2	RandomForestClassifier	RDKit	ROC AUC	0.66439
Unweighted	2	RandomForestClassifier	RDKit	ROC AUC	0.63486
Weighted	1	RandomForestClassifier	MACCS	ROC AUC	0.56015
Unweighted	1	RandomForestClassifier	MACCS	ROC AUC	0.53579
Weighted	3	RandomForestClassifier	MACCS	ROC AUC	0.54627
Unweighted	3	RandomForestClassifier	MACCS	ROC AUC	0.54775
Weighted	4	RandomForestClassifier	MACCS	ROC AUC	0.58579
Unweighted	4	RandomForestClassifier	MACCS	ROC AUC	0.5709
Weighted	0	RandomForestClassifier	MACCS	ROC AUC	0.61519
Unweighted	0	RandomForestClassifier	MACCS	ROC AUC	0.59282
Weighted	2	RandomForestClassifier	MACCS	ROC AUC	0.68294
Unweighted	2	RandomForestClassifier	MACCS	ROC AUC	0.6304
Weighted	1	RandomForestClassifier	Klek	ROC AUC	0.5885
Unweighted	1	RandomForestClassifier	Klek	ROC AUC	0.54917
Weighted	3	RandomForestClassifier	Klek	ROC AUC	0.61053
Unweighted	3	RandomForestClassifier	Klek	ROC AUC	0.58614
Weighted	4	RandomForestClassifier	Klek	ROC AUC	0.57741
Unweighted	4	RandomForestClassifier	Klek	ROC AUC	0.58083
Weighted	0	RandomForestClassifier	Klek	ROC AUC	0.59008
Unweighted	0	RandomForestClassifier	Klek	ROC AUC	0.57128
Weighted	2	RandomForestClassifier	Klek	ROC AUC	0.64086
Unweighted	2	RandomForestClassifier	Klek	ROC AUC	0.61324
Weighted	3	RandomForestClassifier	ECFP	ROC AUC	0.56177
Unweighted	3	RandomForestClassifier	ECFP	ROC AUC	0.55416
Weighted	1	RandomForestClassifier	ECFP	ROC AUC	0.55416
Unweighted	1	RandomForestClassifier	ECFP	ROC AUC	0.53567
Weighted	4	RandomForestClassifier	ECFP	ROC AUC	0.60923
Unweighted	4	RandomForestClassifier	ECFP	ROC AUC	0.60514
Weighted	0	RandomForestClassifier	ECFP	ROC AUC	0.62035
Unweighted	0	RandomForestClassifier	ECFP	ROC AUC	0.60145
Weighted	2	RandomForestClassifier	ECFP	ROC AUC	0.61464
Unweighted	2	RandomForestClassifier	ECFP	ROC AUC	0.57259
Weighted	4	RandomForestClassifier	CDDD	ROC AUC	0.59875
Unweighted	4	RandomForestClassifier	CDDD	ROC AUC	0.58779
Weighted	0	RandomForestClassifier	CDDD	ROC AUC	0.58954
Unweighted	0	RandomForestClassifier	CDDD	ROC AUC	0.58318
Weighted	2	RandomForestClassifier	CDDD	ROC AUC	0.65407
Unweighted	2	RandomForestClassifier	CDDD	ROC AUC	0.62512
Weighted	3	RandomForestClassifier	CDDD	ROC AUC	0.5657
Unweighted	3	RandomForestClassifier	CDDD	ROC AUC	0.56312
Weighted	1	RandomForestClassifier	CDDD	ROC AUC	0.58268
Unweighted	1	RandomForestClassifier	CDDD	ROC AUC	0.54587
Weighted	1	XGBClassifier	ChemBERTa	PRC AUC	0.59009
Unweighted	1	XGBClassifier	ChemBERTa	PRC AUC	0.64301
Weighted	3	XGBClassifier	ChemBERTa	PRC AUC	0.52456
Unweighted	3	XGBClassifier	ChemBERTa	PRC AUC	0.60817
Weighted	4	XGBClassifier	ChemBERTa	PRC AUC	0.54211
Unweighted	4	XGBClassifier	ChemBERTa	PRC AUC	0.62274
Weighted	0	XGBClassifier	ChemBERTa	PRC AUC	0.54327
Unweighted	0	XGBClassifier	ChemBERTa	PRC AUC	0.62221
Weighted	2	XGBClassifier	ChemBERTa	PRC AUC	0.5523
Unweighted	2	XGBClassifier	ChemBERTa	PRC AUC	0.64797
Weighted	1	XGBClassifier	RDKit	PRC AUC	0.59618
Unweighted	1	XGBClassifier	RDKit	PRC AUC	0.65021
Weighted	3	XGBClassifier	RDKit	PRC AUC	0.57815
Unweighted	3	XGBClassifier	RDKit	PRC AUC	0.64773
Weighted	4	XGBClassifier	RDKit	PRC AUC	0.5503
Unweighted	4	XGBClassifier	RDKit	PRC AUC	0.62777
Weighted	0	XGBClassifier	RDKit	PRC AUC	0.56789
Unweighted	0	XGBClassifier	RDKit	PRC AUC	0.66123
Weighted	2	XGBClassifier	RDKit	PRC AUC	0.65555
Unweighted	2	XGBClassifier	RDKit	PRC AUC	0.71918
Weighted	1	XGBClassifier	MACCS	PRC AUC	0.62181
Unweighted	1	XGBClassifier	MACCS	PRC AUC	0.66745
Weighted	3	XGBClassifier	MACCS	PRC AUC	0.58192
Unweighted	3	XGBClassifier	MACCS	PRC AUC	0.66278
Weighted	4	XGBClassifier	MACCS	PRC AUC	0.57039
Unweighted	4	XGBClassifier	MACCS	PRC AUC	0.63009
Weighted	0	XGBClassifier	MACCS	PRC AUC	0.5336
Unweighted	0	XGBClassifier	MACCS	PRC AUC	0.63099
Weighted	2	XGBClassifier	MACCS	PRC AUC	0.62446
Unweighted	2	XGBClassifier	MACCS	PRC AUC	0.69595
Weighted	1	XGBClassifier	Klek	PRC AUC	0.61579
Unweighted	1	XGBClassifier	Klek	PRC AUC	0.64277
Weighted	3	XGBClassifier	Klek	PRC AUC	0.58237
Unweighted	3	XGBClassifier	Klek	PRC AUC	0.6449
Weighted	4	XGBClassifier	Klek	PRC AUC	0.53067
Unweighted	4	XGBClassifier	Klek	PRC AUC	0.61487
Weighted	0	XGBClassifier	Klek	PRC AUC	0.5577
Unweighted	0	XGBClassifier	Klek	PRC AUC	0.64306
Weighted	2	XGBClassifier	Klek	PRC AUC	0.6058
Unweighted	2	XGBClassifier	Klek	PRC AUC	0.67917
Weighted	1	XGBClassifier	ECFP	PRC AUC	0.59764
Unweighted	1	XGBClassifier	ECFP	PRC AUC	0.64408
Weighted	3	XGBClassifier	ECFP	PRC AUC	0.57847
Unweighted	3	XGBClassifier	ECFP	PRC AUC	0.64738
Weighted	4	XGBClassifier	ECFP	PRC AUC	0.55571
Unweighted	4	XGBClassifier	ECFP	PRC AUC	0.65072
Weighted	0	XGBClassifier	ECFP	PRC AUC	0.56823
Unweighted	0	XGBClassifier	ECFP	PRC AUC	0.65858
Weighted	2	XGBClassifier	ECFP	PRC AUC	0.67247
Unweighted	2	XGBClassifier	ECFP	PRC AUC	0.71995
Weighted	1	XGBClassifier	CDDD	PRC AUC	0.58026
Unweighted	1	XGBClassifier	CDDD	PRC AUC	0.63011
Weighted	3	XGBClassifier	CDDD	PRC AUC	0.58797
Unweighted	3	XGBClassifier	CDDD	PRC AUC	0.65357
Weighted	4	XGBClassifier	CDDD	PRC AUC	0.53456
Unweighted	4	XGBClassifier	CDDD	PRC AUC	0.62004
Weighted	0	XGBClassifier	CDDD	PRC AUC	0.57584
Unweighted	0	XGBClassifier	CDDD	PRC AUC	0.65523
Weighted	2	XGBClassifier	CDDD	PRC AUC	0.64073
Unweighted	2	XGBClassifier	CDDD	PRC AUC	0.70584
Weighted	1	LogisticRegression	ChemBERTa	PRC AUC	0.4718
Unweighted	1	LogisticRegression	ChemBERTa	PRC AUC	0.54915
Weighted	0	LogisticRegression	ChemBERTa	PRC AUC	0.45285
Unweighted	0	LogisticRegression	ChemBERTa	PRC AUC	0.56037
Weighted	3	LogisticRegression	ChemBERTa	PRC AUC	0.49222
Unweighted	3	LogisticRegression	ChemBERTa	PRC AUC	0.58516
Weighted	2	LogisticRegression	ChemBERTa	PRC AUC	0.4963
Unweighted	2	LogisticRegression	ChemBERTa	PRC AUC	0.6139
Weighted	4	LogisticRegression	ChemBERTa	PRC AUC	0.41464
Unweighted	4	LogisticRegression	ChemBERTa	PRC AUC	0.52509
Weighted	3	LogisticRegression	RDKit	PRC AUC	0.5678
Unweighted	3	LogisticRegression	RDKit	PRC AUC	0.64759
Weighted	1	LogisticRegression	RDKit	PRC AUC	0.55592
Unweighted	1	LogisticRegression	RDKit	PRC AUC	0.6201
Weighted	4	LogisticRegression	RDKit	PRC AUC	0.55175
Unweighted	4	LogisticRegression	RDKit	PRC AUC	0.64344
Weighted	0	LogisticRegression	RDKit	PRC AUC	0.52317
Unweighted	0	LogisticRegression	RDKit	PRC AUC	0.63092
Weighted	2	LogisticRegression	RDKit	PRC AUC	0.62816
Unweighted	2	LogisticRegression	RDKit	PRC AUC	0.69254
Weighted	1	LogisticRegression	MACCS	PRC AUC	0.6177
Unweighted	1	LogisticRegression	MACCS	PRC AUC	0.66186
Weighted	3	LogisticRegression	MACCS	PRC AUC	0.53499
Unweighted	3	LogisticRegression	MACCS	PRC AUC	0.62588
Weighted	4	LogisticRegression	MACCS	PRC AUC	0.52284
Unweighted	4	LogisticRegression	MACCS	PRC AUC	0.60409
Weighted	0	LogisticRegression	MACCS	PRC AUC	0.50037
Unweighted	0	LogisticRegression	MACCS	PRC AUC	0.601
Weighted	2	LogisticRegression	MACCS	PRC AUC	0.48803
Unweighted	2	LogisticRegression	MACCS	PRC AUC	0.59021
Weighted	1	LogisticRegression	Klek	PRC AUC	0.5719
Unweighted	1	LogisticRegression	Klek	PRC AUC	0.61972
Weighted	4	LogisticRegression	Klek	PRC AUC	0.52868
Unweighted	4	LogisticRegression	Klek	PRC AUC	0.61117
Weighted	0	LogisticRegression	Klek	PRC AUC	0.55542
Unweighted	0	LogisticRegression	Klek	PRC AUC	0.64537
Weighted	3	LogisticRegression	Klek	PRC AUC	0.49608
Unweighted	3	LogisticRegression	Klek	PRC AUC	0.58547
Weighted	2	LogisticRegression	Klek	PRC AUC	0.64075
Unweighted	2	LogisticRegression	Klek	PRC AUC	0.70593
Weighted	3	LogisticRegression	ECFP	PRC AUC	0.51862
Unweighted	3	LogisticRegression	ECFP	PRC AUC	0.60731
Weighted	1	LogisticRegression	ECFP	PRC AUC	0.56835
Unweighted	1	LogisticRegression	ECFP	PRC AUC	0.62166
Weighted	4	LogisticRegression	ECFP	PRC AUC	0.52033
Unweighted	4	LogisticRegression	ECFP	PRC AUC	0.61777
Weighted	0	LogisticRegression	ECFP	PRC AUC	0.54728
Unweighted	0	LogisticRegression	ECFP	PRC AUC	0.63199
Weighted	2	LogisticRegression	ECFP	PRC AUC	0.59579
Unweighted	2	LogisticRegression	ECFP	PRC AUC	0.67051
Weighted	1	LogisticRegression	CDDD	PRC AUC	0.54928
Unweighted	1	LogisticRegression	CDDD	PRC AUC	0.60508
Weighted	3	LogisticRegression	CDDD	PRC AUC	0.47656
Unweighted	3	LogisticRegression	CDDD	PRC AUC	0.59131
Weighted	4	LogisticRegression	CDDD	PRC AUC	0.54048
Unweighted	4	LogisticRegression	CDDD	PRC AUC	0.60661
Weighted	0	LogisticRegression	CDDD	PRC AUC	0.56405
Unweighted	0	LogisticRegression	CDDD	PRC AUC	0.65361
Weighted	2	LogisticRegression	CDDD	PRC AUC	0.56322
Unweighted	2	LogisticRegression	CDDD	PRC AUC	0.65592
Weighted	4	RandomForestClassifier	ChemBERTa	PRC AUC	0.45809
Unweighted	4	RandomForestClassifier	ChemBERTa	PRC AUC	0.56488
Weighted	1	RandomForestClassifier	ChemBERTa	PRC AUC	0.56783
Unweighted	1	RandomForestClassifier	ChemBERTa	PRC AUC	0.62983
Weighted	0	RandomForestClassifier	ChemBERTa	PRC AUC	0.585
Unweighted	0	RandomForestClassifier	ChemBERTa	PRC AUC	0.64848
Weighted	3	RandomForestClassifier	ChemBERTa	PRC AUC	0.46949
Unweighted	3	RandomForestClassifier	ChemBERTa	PRC AUC	0.58687
Weighted	2	RandomForestClassifier	ChemBERTa	PRC AUC	0.56893
Unweighted	2	RandomForestClassifier	ChemBERTa	PRC AUC	0.64603
Weighted	1	RandomForestClassifier	RDKit	PRC AUC	0.57105
Unweighted	1	RandomForestClassifier	RDKit	PRC AUC	0.63701
Weighted	3	RandomForestClassifier	RDKit	PRC AUC	0.52463
Unweighted	3	RandomForestClassifier	RDKit	PRC AUC	0.62979
Weighted	4	RandomForestClassifier	RDKit	PRC AUC	0.5679
Unweighted	4	RandomForestClassifier	RDKit	PRC AUC	0.64262
Weighted	0	RandomForestClassifier	RDKit	PRC AUC	0.54959
Unweighted	0	RandomForestClassifier	RDKit	PRC AUC	0.64153
Weighted	2	RandomForestClassifier	RDKit	PRC AUC	0.62439
Unweighted	2	RandomForestClassifier	RDKit	PRC AUC	0.71152
Weighted	1	RandomForestClassifier	MACCS	PRC AUC	0.62061
Unweighted	1	RandomForestClassifier	MACCS	PRC AUC	0.66556
Weighted	3	RandomForestClassifier	MACCS	PRC AUC	0.53828
Unweighted	3	RandomForestClassifier	MACCS	PRC AUC	0.64406
Weighted	4	RandomForestClassifier	MACCS	PRC AUC	0.56562
Unweighted	4	RandomForestClassifier	MACCS	PRC AUC	0.63183
