Series	Test_Fold	Model	Descriptors	Weight	Metric	Value
Weighted	0	LogisticRegression	MACCS	Low	Recall	0.45971
Unweighted	0	LogisticRegression	MACCS	Average	Recall	0.50874
Unweighted	0	LogisticRegression	MACCS	High	Recall	0.44366
Unweighted	0	LogisticRegression	MACCS	Unknown	Recall	0.55624
Unweighted	0	LogisticRegression	MACCS	Low	Recall	0.44409
Weighted	1	LogisticRegression	MACCS	Low	Recall	0.40144
Weighted	1	LogisticRegression	MACCS	Unknown	Recall	0.54807
Weighted	1	LogisticRegression	MACCS	Average	Recall	0.39389
Weighted	1	LogisticRegression	MACCS	High	Recall	0.353
Unweighted	1	LogisticRegression	MACCS	Low	Recall	0.39931
Unweighted	1	LogisticRegression	MACCS	Unknown	Recall	0.54242
Unweighted	1	LogisticRegression	MACCS	Average	Recall	0.38669
Unweighted	1	LogisticRegression	MACCS	High	Recall	0.33752
Weighted	2	LogisticRegression	MACCS	Unknown	Recall	0.52833
Weighted	2	LogisticRegression	MACCS	Average	Recall	0.35658
Weighted	2	LogisticRegression	MACCS	Low	Recall	0.31986
Weighted	2	LogisticRegression	MACCS	High	Recall	0.2857
Unweighted	2	LogisticRegression	MACCS	Unknown	Recall	0.51601
Unweighted	2	LogisticRegression	MACCS	Average	Recall	0.37092
Unweighted	2	LogisticRegression	MACCS	Low	Recall	0.33059
Unweighted	2	LogisticRegression	MACCS	High	Recall	0.29747
Weighted	3	LogisticRegression	MACCS	Unknown	Recall	0.58049
Weighted	3	LogisticRegression	MACCS	Average	Recall	0.45794
Weighted	3	LogisticRegression	MACCS	High	Recall	0.35082
Weighted	3	LogisticRegression	MACCS	Low	Recall	0.39056
Unweighted	3	LogisticRegression	MACCS	Unknown	Recall	0.59052
Unweighted	3	LogisticRegression	MACCS	Average	Recall	0.41484
Unweighted	3	LogisticRegression	MACCS	High	Recall	0.30292
Unweighted	3	LogisticRegression	MACCS	Low	Recall	0.33942
Weighted	4	LogisticRegression	MACCS	Low	Recall	0.38693
Weighted	4	LogisticRegression	MACCS	Unknown	Recall	0.6111
Weighted	4	LogisticRegression	MACCS	High	Recall	0.31076
Weighted	4	LogisticRegression	MACCS	Average	Recall	0.3712
Unweighted	4	LogisticRegression	MACCS	Low	Recall	0.35593
Unweighted	4	LogisticRegression	MACCS	Unknown	Recall	0.61461
Unweighted	4	LogisticRegression	MACCS	High	Recall	0.29389
Unweighted	4	LogisticRegression	MACCS	Average	Recall	0.35225
Weighted	0	LogisticRegression	Klek	Unknown	Recall	0.52518
Weighted	0	LogisticRegression	Klek	Low	Recall	0.42413
Weighted	0	LogisticRegression	Klek	Average	Recall	0.45861
Weighted	0	LogisticRegression	Klek	High	Recall	0.36119
Unweighted	0	LogisticRegression	Klek	Unknown	Recall	0.52793
Unweighted	0	LogisticRegression	Klek	Low	Recall	0.45048
Unweighted	0	LogisticRegression	Klek	Average	Recall	0.52146
Unweighted	0	LogisticRegression	Klek	High	Recall	0.43134
Weighted	1	LogisticRegression	Klek	High	Recall	0.35477
Weighted	1	LogisticRegression	Klek	Average	Recall	0.40976
Weighted	1	LogisticRegression	Klek	Unknown	Recall	0.55226
Weighted	1	LogisticRegression	Klek	Low	Recall	0.40885
Unweighted	1	LogisticRegression	Klek	High	Recall	0.33573
Unweighted	1	LogisticRegression	Klek	Average	Recall	0.40729
Unweighted	1	LogisticRegression	Klek	Unknown	Recall	0.54513
Unweighted	1	LogisticRegression	Klek	Low	Recall	0.4062
Weighted	3	LogisticRegression	Klek	High	Recall	0.29998
Weighted	3	LogisticRegression	Klek	Unknown	Recall	0.60892
Weighted	3	LogisticRegression	Klek	Low	Recall	0.30759
Weighted	3	LogisticRegression	Klek	Average	Recall	0.36657
Unweighted	3	LogisticRegression	Klek	High	Recall	0.2792
Unweighted	3	LogisticRegression	Klek	Unknown	Recall	0.61724
Unweighted	3	LogisticRegression	Klek	Low	Recall	0.29015
