Dataset	Descriptors	Metric	Model	Mean	STD
Primary	RDKit	Specificity	RandomForestClassifier	0.49617	0.09295
Primary	RDKit	Specificity	XGBClassifier	0.55546	0.11038
Secondary	CDDD	Accuracy	LogisticRegression	0.54897	0.02938
Secondary	CDDD	Accuracy	RandomForestClassifier	0.57881	0.03387
Secondary	CDDD	Accuracy	XGBClassifier	0.58102	0.02572
Secondary	CDDD	Balanced Accuracy	LogisticRegression	0.54146	0.023
Secondary	CDDD	Balanced Accuracy	RandomForestClassifier	0.55076	0.02807
Secondary	CDDD	Balanced Accuracy	XGBClassifier	0.56304	0.02275
Secondary	CDDD	F1 Score	LogisticRegression	0.58975	0.06847
Secondary	CDDD	F1 Score	RandomForestClassifier	0.64849	0.08013
Secondary	CDDD	F1 Score	XGBClassifier	0.63982	0.06392
Secondary	CDDD	GeomRS	LogisticRegression	0.52868	0.02792
Secondary	CDDD	GeomRS	RandomForestClassifier	0.4841	0.1042
Secondary	CDDD	GeomRS	XGBClassifier	0.53685	0.05165
Secondary	CDDD	HarmRS	LogisticRegression	0.51657	0.0368
Secondary	CDDD	HarmRS	RandomForestClassifier	0.43936	0.15114
Secondary	CDDD	HarmRS	XGBClassifier	0.51409	0.07828
Secondary	CDDD	MCC	LogisticRegression	0.08385	0.04623
Secondary	CDDD	MCC	RandomForestClassifier	0.11346	0.0508
Secondary	CDDD	MCC	XGBClassifier	0.13061	0.04167
Secondary	CDDD	Precision	LogisticRegression	0.61241	0.05866
Secondary	CDDD	Precision	RandomForestClassifier	0.61716	0.05454
Secondary	CDDD	Precision	XGBClassifier	0.6272	0.05311
Secondary	CDDD	ROC AUC	LogisticRegression	0.56378	0.02984
Secondary	CDDD	ROC AUC	RandomForestClassifier	0.60665	0.03465
Secondary	CDDD	ROC AUC	XGBClassifier	0.60806	0.02568
Secondary	CDDD	Recall	LogisticRegression	0.57991	0.11043
Secondary	CDDD	Recall	RandomForestClassifier	0.70985	0.17165
Secondary	CDDD	Recall	XGBClassifier	0.66631	0.11979
Secondary	CDDD	Specificity	LogisticRegression	0.50302	0.11539
Secondary	CDDD	Specificity	RandomForestClassifier	0.39167	0.20325
Secondary	CDDD	Specificity	XGBClassifier	0.45978	0.13969
Secondary	ChemBERTa	Accuracy	LogisticRegression	0.52332	0.02706
Secondary	ChemBERTa	Accuracy	RandomForestClassifier	0.55842	0.03993
Secondary	ChemBERTa	Accuracy	XGBClassifier	0.55691	0.02958
Secondary	ChemBERTa	Balanced Accuracy	LogisticRegression	0.51872	0.02494
Secondary	ChemBERTa	Balanced Accuracy	RandomForestClassifier	0.53016	0.02927
Secondary	ChemBERTa	Balanced Accuracy	XGBClassifier	0.5402	0.02327
Secondary	ChemBERTa	F1 Score	LogisticRegression	0.56208	0.05743
Secondary	ChemBERTa	F1 Score	RandomForestClassifier	0.63877	0.07621
Secondary	ChemBERTa	F1 Score	XGBClassifier	0.61812	0.06968
Secondary	ChemBERTa	GeomRS	LogisticRegression	0.51172	0.02457
Secondary	ChemBERTa	GeomRS	RandomForestClassifier	0.46803	0.07928
Secondary	ChemBERTa	GeomRS	XGBClassifier	0.51039	0.05105
Secondary	ChemBERTa	HarmRS	LogisticRegression	0.50493	0.02659
Secondary	ChemBERTa	HarmRS	RandomForestClassifier	0.42294	0.12132
Secondary	ChemBERTa	HarmRS	XGBClassifier	0.48516	0.07991
Secondary	ChemBERTa	MCC	LogisticRegression	0.03765	0.05009
Secondary	ChemBERTa	MCC	RandomForestClassifier	0.0717	0.06319
Secondary	ChemBERTa	MCC	XGBClassifier	0.0844	0.04689
Secondary	ChemBERTa	Precision	LogisticRegression	0.59193	0.05326
Secondary	ChemBERTa	Precision	RandomForestClassifier	0.5971	0.04801
Secondary	ChemBERTa	Precision	XGBClassifier	0.60762	0.05331
Secondary	ChemBERTa	ROC AUC	LogisticRegression	0.51846	0.03347
Secondary	ChemBERTa	ROC AUC	RandomForestClassifier	0.566	0.05118
Secondary	ChemBERTa	ROC AUC	XGBClassifier	0.57509	0.03264
Secondary	ChemBERTa	Recall	LogisticRegression	0.54222	0.08479
Secondary	ChemBERTa	Recall	RandomForestClassifier	0.70823	0.161
Secondary	ChemBERTa	Recall	XGBClassifier	0.64526	0.13511
Secondary	ChemBERTa	Specificity	LogisticRegression	0.49521	0.08784
Secondary	ChemBERTa	Specificity	RandomForestClassifier	0.35209	0.16412
Secondary	ChemBERTa	Specificity	XGBClassifier	0.43514	0.14209
Secondary	Klek	Accuracy	LogisticRegression	0.56367	0.03472
Secondary	Klek	Accuracy	RandomForestClassifier	0.56803	0.03864
Secondary	Klek	Accuracy	XGBClassifier	0.57919	0.03361
Secondary	Klek	Balanced Accuracy	LogisticRegression	0.55607	0.03342
Secondary	Klek	Balanced Accuracy	RandomForestClassifier	0.55145	0.02742
Secondary	Klek	Balanced Accuracy	XGBClassifier	0.56694	0.0297
Secondary	Klek	F1 Score	LogisticRegression	0.6047	0.05958
Secondary	Klek	F1 Score	RandomForestClassifier	0.58897	0.1469
Secondary	Klek	F1 Score	XGBClassifier	0.61872	0.08639
Secondary	Klek	GeomRS	LogisticRegression	0.54847	0.03737
Secondary	Klek	GeomRS	RandomForestClassifier	0.47827	0.12435
Secondary	Klek	GeomRS	XGBClassifier	0.54172	0.05132
Secondary	Klek	HarmRS	LogisticRegression	0.54117	0.04291
Secondary	Klek	HarmRS	RandomForestClassifier	0.43658	0.14975
Secondary	Klek	HarmRS	XGBClassifier	0.51928	0.0746
Secondary	Klek	MCC	LogisticRegression	0.11221	0.06649
Secondary	Klek	MCC	RandomForestClassifier	0.11362	0.05938
Secondary	Klek	MCC	XGBClassifier	0.13908	0.05922
Secondary	Klek	Precision	LogisticRegression	0.62515	0.05124
Secondary	Klek	Precision	RandomForestClassifier	0.62043	0.10936
Secondary	Klek	Precision	XGBClassifier	0.63595	0.04663
Secondary	Klek	ROC AUC	LogisticRegression	0.57849	0.04416
Secondary	Klek	ROC AUC	RandomForestClassifier	0.6001	0.03452
Secondary	Klek	ROC AUC	XGBClassifier	0.61179	0.0432
Secondary	Klek	Recall	LogisticRegression	0.59159	0.08789
Secondary	Klek	Recall	RandomForestClassifier	0.60659	0.23695
Secondary	Klek	Recall	XGBClassifier	0.62313	0.15389
Secondary	Klek	Specificity	LogisticRegression	0.52055	0.0924
Secondary	Klek	Specificity	RandomForestClassifier	0.49631	0.25273
Secondary	Klek	Specificity	XGBClassifier	0.51075	0.15915
Secondary	MACCS	Accuracy	LogisticRegression	0.55741	0.04035
Secondary	MACCS	Accuracy	RandomForestClassifier	0.57956	0.03136
Secondary	MACCS	Accuracy	XGBClassifier	0.58614	0.03059
Secondary	MACCS	Balanced Accuracy	LogisticRegression	0.54714	0.02697
Secondary	MACCS	Balanced Accuracy	RandomForestClassifier	0.56301	0.02291
Secondary	MACCS	Balanced Accuracy	XGBClassifier	0.57436	0.02449
Secondary	MACCS	F1 Score	LogisticRegression	0.57629	0.11962
Secondary	MACCS	F1 Score	RandomForestClassifier	0.63531	0.06897
Secondary	MACCS	F1 Score	XGBClassifier	0.62628	0.0791
Secondary	MACCS	GeomRS	LogisticRegression	0.5084	0.05538
Secondary	MACCS	GeomRS	RandomForestClassifier	0.53348	0.0479
Secondary	MACCS	GeomRS	XGBClassifier	0.55258	0.04023
Secondary	MACCS	HarmRS	LogisticRegression	0.47492	0.08302
Secondary	MACCS	HarmRS	RandomForestClassifier	0.50789	0.07628
Secondary	MACCS	HarmRS	XGBClassifier	0.53275	0.05967
Secondary	MACCS	MCC	LogisticRegression	0.1003	0.05335
Secondary	MACCS	MCC	RandomForestClassifier	0.13409	0.04654
Secondary	MACCS	MCC	XGBClassifier	0.15478	0.0492
Secondary	MACCS	Precision	LogisticRegression	0.62183	0.03656
Secondary	MACCS	Precision	RandomForestClassifier	0.62787	0.04018
Secondary	MACCS	Precision	XGBClassifier	0.64173	0.04071
