DPA	Descriptors	Metric	Model	Mean	STD
PRR	Morgan	ROC AUC	RandomForestClassifier	0.52926	0.03265
PRR	Morgan	ROC AUC	XGBClassifier	0.53801	0.02986
PRR	Morgan	Recall	LogisticRegression	0.47643	0.07382
PRR	Morgan	Recall	RandomForestClassifier	0.42196	0.10719
PRR	Morgan	Recall	XGBClassifier	0.49263	0.08242
PRR	Morgan	Specificity	LogisticRegression	0.55836	0.06179
PRR	Morgan	Specificity	RandomForestClassifier	0.6195	0.09261
PRR	Morgan	Specificity	XGBClassifier	0.55666	0.06382
PRR	RDKit	Accuracy	LogisticRegression	0.52319	0.03478
PRR	RDKit	Accuracy	RandomForestClassifier	0.53221	0.02922
PRR	RDKit	Accuracy	XGBClassifier	0.53738	0.02529
PRR	RDKit	Balanced Accuracy	LogisticRegression	0.53176	0.02912
PRR	RDKit	Balanced Accuracy	RandomForestClassifier	0.52654	0.02558
PRR	RDKit	Balanced Accuracy	XGBClassifier	0.54011	0.02158
PRR	RDKit	Brier	LogisticRegression	0.28809	0.02306
PRR	RDKit	Brier	RandomForestClassifier	0.25201	0.00615
PRR	RDKit	Brier	XGBClassifier	0.26392	0.01099
PRR	RDKit	ECE	LogisticRegression	0.17597	0.04963
PRR	RDKit	ECE	RandomForestClassifier	0.08246	0.02946
PRR	RDKit	ECE	XGBClassifier	0.12006	0.02985
PRR	RDKit	F1 Score	LogisticRegression	0.52991	0.05686
PRR	RDKit	F1 Score	RandomForestClassifier	0.57605	0.06226
PRR	RDKit	F1 Score	XGBClassifier	0.56275	0.04631
PRR	RDKit	GeomRS	LogisticRegression	0.52536	0.03306
PRR	RDKit	GeomRS	RandomForestClassifier	0.51298	0.0329
PRR	RDKit	GeomRS	XGBClassifier	0.53448	0.02348
PRR	RDKit	HarmRS	LogisticRegression	0.51913	0.0377
PRR	RDKit	HarmRS	RandomForestClassifier	0.5005	0.04593
PRR	RDKit	HarmRS	XGBClassifier	0.52898	0.02646
PRR	RDKit	MCC	LogisticRegression	0.06319	0.05796
PRR	RDKit	MCC	RandomForestClassifier	0.05418	0.05205
PRR	RDKit	MCC	XGBClassifier	0.08015	0.04306
PRR	RDKit	PRC AUC	LogisticRegression	0.60167	0.04107
PRR	RDKit	PRC AUC	RandomForestClassifier	0.60934	0.03582
PRR	RDKit	PRC AUC	XGBClassifier	0.62792	0.03314
PRR	RDKit	Precision	LogisticRegression	0.606	0.0402
PRR	RDKit	Precision	RandomForestClassifier	0.59847	0.03522
PRR	RDKit	Precision	XGBClassifier	0.61381	0.03289
PRR	RDKit	ROC AUC	LogisticRegression	0.53947	0.03588
PRR	RDKit	ROC AUC	RandomForestClassifier	0.54101	0.03265
PRR	RDKit	ROC AUC	XGBClassifier	0.55608	0.02797
PRR	RDKit	Recall	LogisticRegression	0.47508	0.07681
PRR	RDKit	Recall	RandomForestClassifier	0.56791	0.11128
PRR	RDKit	Recall	XGBClassifier	0.52639	0.07894
PRR	RDKit	Specificity	LogisticRegression	0.58844	0.05084
PRR	RDKit	Specificity	RandomForestClassifier	0.48516	0.11574
PRR	RDKit	Specificity	XGBClassifier	0.55383	0.08072
ROR	CDDD	Accuracy	LogisticRegression	0.4999	0.02794
ROR	CDDD	Accuracy	RandomForestClassifier	0.53845	0.02718
ROR	CDDD	Accuracy	XGBClassifier	0.53298	0.02371
ROR	CDDD	Balanced Accuracy	LogisticRegression	0.51225	0.02552
ROR	CDDD	Balanced Accuracy	RandomForestClassifier	0.5326	0.02595
ROR	CDDD	Balanced Accuracy	XGBClassifier	0.53678	0.02352
ROR	CDDD	Brier	LogisticRegression	0.32078	0.01735
ROR	CDDD	Brier	RandomForestClassifier	0.24695	0.0047
ROR	CDDD	Brier	XGBClassifier	0.25954	0.00652
ROR	CDDD	ECE	LogisticRegression	0.23545	0.02874
ROR	CDDD	ECE	RandomForestClassifier	0.07255	0.02392
ROR	CDDD	ECE	XGBClassifier	0.11353	0.02119
ROR	CDDD	F1 Score	LogisticRegression	0.49144	0.04884
ROR	CDDD	F1 Score	RandomForestClassifier	0.57419	0.06425
ROR	CDDD	F1 Score	XGBClassifier	0.54835	0.04663
ROR	CDDD	GeomRS	LogisticRegression	0.50208	0.02978
ROR	CDDD	GeomRS	RandomForestClassifier	0.52266	0.02982
ROR	CDDD	GeomRS	XGBClassifier	0.53107	0.02437
ROR	CDDD	HarmRS	LogisticRegression	0.49233	0.0359
ROR	CDDD	HarmRS	RandomForestClassifier	0.5131	0.03569
ROR	CDDD	HarmRS	XGBClassifier	0.52552	0.02685
ROR	CDDD	MCC	LogisticRegression	0.02442	0.05112
ROR	CDDD	MCC	RandomForestClassifier	0.06572	0.05183
ROR	CDDD	MCC	XGBClassifier	0.07357	0.04684
ROR	CDDD	PRC AUC	LogisticRegression	0.5937	0.03554
ROR	CDDD	PRC AUC	RandomForestClassifier	0.62417	0.03807
ROR	CDDD	PRC AUC	XGBClassifier	0.62601	0.03521
ROR	CDDD	Precision	LogisticRegression	0.58683	0.0399
ROR	CDDD	Precision	RandomForestClassifier	0.60504	0.03242
ROR	CDDD	Precision	XGBClassifier	0.61292	0.03298
ROR	CDDD	ROC AUC	LogisticRegression	0.51724	0.03037
ROR	CDDD	ROC AUC	RandomForestClassifier	0.55238	0.03686
ROR	CDDD	ROC AUC	XGBClassifier	0.5547	0.02912
ROR	CDDD	Recall	LogisticRegression	0.42558	0.05983
ROR	CDDD	Recall	RandomForestClassifier	0.55482	0.10005
ROR	CDDD	Recall	XGBClassifier	0.50007	0.06794
ROR	CDDD	Specificity	LogisticRegression	0.59892	0.05462
ROR	CDDD	Specificity	RandomForestClassifier	0.51038	0.10649
ROR	CDDD	Specificity	XGBClassifier	0.57348	0.07813
ROR	ChemBERTa	Accuracy	LogisticRegression	0.50787	0.02805
ROR	ChemBERTa	Accuracy	RandomForestClassifier	0.52491	0.02768
ROR	ChemBERTa	Accuracy	XGBClassifier	0.52348	0.02699
ROR	ChemBERTa	Balanced Accuracy	LogisticRegression	0.51488	0.02641
ROR	ChemBERTa	Balanced Accuracy	RandomForestClassifier	0.51867	0.02941
ROR	ChemBERTa	Balanced Accuracy	XGBClassifier	0.52518	0.02825
ROR	ChemBERTa	Brier	LogisticRegression	0.31244	0.02077
ROR	ChemBERTa	Brier	RandomForestClassifier	0.2511	0.00497
ROR	ChemBERTa	Brier	XGBClassifier	0.26266	0.0069
ROR	ChemBERTa	ECE	LogisticRegression	0.21786	0.03811
ROR	ChemBERTa	ECE	RandomForestClassifier	0.08109	0.01954
ROR	ChemBERTa	ECE	XGBClassifier	0.12	0.01775
ROR	ChemBERTa	F1 Score	LogisticRegression	0.5128	0.04982
ROR	ChemBERTa	F1 Score	RandomForestClassifier	0.55957	0.06336
ROR	ChemBERTa	F1 Score	XGBClassifier	0.54356	0.04951
ROR	ChemBERTa	GeomRS	LogisticRegression	0.50741	0.02781
ROR	ChemBERTa	GeomRS	RandomForestClassifier	0.50933	0.03509
ROR	ChemBERTa	GeomRS	XGBClassifier	0.52053	0.03112
ROR	ChemBERTa	HarmRS	LogisticRegression	0.50018	0.03109
ROR	ChemBERTa	HarmRS	RandomForestClassifier	0.50046	0.04274
ROR	ChemBERTa	HarmRS	XGBClassifier	0.51602	0.03484
ROR	ChemBERTa	MCC	LogisticRegression	0.03004	0.05279
ROR	ChemBERTa	MCC	RandomForestClassifier	0.03733	0.05899
ROR	ChemBERTa	MCC	XGBClassifier	0.05002	0.05632
ROR	ChemBERTa	PRC AUC	LogisticRegression	0.59217	0.02768
ROR	ChemBERTa	PRC AUC	RandomForestClassifier	0.59626	0.04054
ROR	ChemBERTa	PRC AUC	XGBClassifier	0.60538	0.04222
ROR	ChemBERTa	Precision	LogisticRegression	0.59004	0.0301
ROR	ChemBERTa	Precision	RandomForestClassifier	0.59256	0.0341
ROR	ChemBERTa	Precision	XGBClassifier	0.59957	0.0374
ROR	ChemBERTa	ROC AUC	LogisticRegression	0.51755	0.0332
ROR	ChemBERTa	ROC AUC	RandomForestClassifier	0.52671	0.03984
ROR	ChemBERTa	ROC AUC	XGBClassifier	0.53642	0.03895
ROR	ChemBERTa	Recall	LogisticRegression	0.45707	0.06918
ROR	ChemBERTa	Recall	RandomForestClassifier	0.53651	0.09087
ROR	ChemBERTa	Recall	XGBClassifier	0.49994	0.06471
ROR	ChemBERTa	Specificity	LogisticRegression	0.5727	0.07237
ROR	ChemBERTa	Specificity	RandomForestClassifier	0.50083	0.10829
ROR	ChemBERTa	Specificity	XGBClassifier	0.55042	0.07551
ROR	Klek	Accuracy	LogisticRegression	0.51146	0.03244
ROR	Klek	Accuracy	RandomForestClassifier	0.4924	0.03786
ROR	Klek	Accuracy	XGBClassifier	0.50919	0.03418
ROR	Klek	Balanced Accuracy	LogisticRegression	0.51474	0.03235
ROR	Klek	Balanced Accuracy	RandomForestClassifier	0.51973	0.0304
ROR	Klek	Balanced Accuracy	XGBClassifier	0.52822	0.02786
ROR	Klek	Brier	LogisticRegression	0.31221	0.02472
ROR	Klek	Brier	RandomForestClassifier	0.26849	0.01059
ROR	Klek	Brier	XGBClassifier	0.27758	0.01238
ROR	Klek	ECE	LogisticRegression	0.22104	0.0382
ROR	Klek	ECE	RandomForestClassifier	0.14483	0.03092
ROR	Klek	ECE	XGBClassifier	0.16137	0.02779
ROR	Klek	F1 Score	LogisticRegression	0.53176	0.05449
ROR	Klek	F1 Score	RandomForestClassifier	0.42682	0.08435
ROR	Klek	F1 Score	XGBClassifier	0.48213	0.07345
ROR	Klek	GeomRS	LogisticRegression	0.50751	0.03453
ROR	Klek	GeomRS	RandomForestClassifier	0.47893	0.05225
ROR	Klek	GeomRS	XGBClassifier	0.50608	0.04179
ROR	Klek	HarmRS	LogisticRegression	0.50053	0.03827
ROR	Klek	HarmRS	RandomForestClassifier	0.44375	0.07665
ROR	Klek	HarmRS	XGBClassifier	0.48609	0.05936
ROR	Klek	MCC	LogisticRegression	0.02942	0.06479
ROR	Klek	MCC	RandomForestClassifier	0.04147	0.06218
ROR	Klek	MCC	XGBClassifier	0.05763	0.05629
ROR	Klek	PRC AUC	LogisticRegression	0.60055	0.04948
ROR	Klek	PRC AUC	RandomForestClassifier	0.60211	0.04453
ROR	Klek	PRC AUC	XGBClassifier	0.61781	0.0461
ROR	Klek	Precision	LogisticRegression	0.58938	0.04548
ROR	Klek	Precision	RandomForestClassifier	0.60152	0.05235
ROR	Klek	Precision	XGBClassifier	0.60901	0.04724
ROR	Klek	ROC AUC	LogisticRegression	0.52056	0.04816
ROR	Klek	ROC AUC	RandomForestClassifier	0.53335	0.03717
ROR	Klek	ROC AUC	XGBClassifier	0.5432	0.03836
ROR	Klek	Recall	LogisticRegression	0.49097	0.08163
ROR	Klek	Recall	RandomForestClassifier	0.34018	0.09649
ROR	Klek	Recall	XGBClassifier	0.40902	0.09477
ROR	Klek	Specificity	LogisticRegression	0.53851	0.09534
ROR	Klek	Specificity	RandomForestClassifier	0.69927	0.07955
ROR	Klek	Specificity	XGBClassifier	0.64743	0.09178
ROR	MACCS	Accuracy	LogisticRegression	0.48333	0.03042
ROR	MACCS	Accuracy	RandomForestClassifier	0.52545	0.03166
ROR	MACCS	Accuracy	XGBClassifier	0.50664	0.02784
ROR	MACCS	Balanced Accuracy	LogisticRegression	0.51172	0.0201
ROR	MACCS	Balanced Accuracy	RandomForestClassifier	0.52315	0.02842
ROR	MACCS	Balanced Accuracy	XGBClassifier	0.52178	0.02468
ROR	MACCS	Brier	LogisticRegression	0.29841	0.01599
ROR	MACCS	Brier	RandomForestClassifier	0.25432	0.00649
ROR	MACCS	Brier	XGBClassifier	0.27612	0.01063
ROR	MACCS	ECE	LogisticRegression	0.19904	0.03268
ROR	MACCS	ECE	RandomForestClassifier	0.09322	0.02203
ROR	MACCS	ECE	XGBClassifier	0.15605	0.02136
ROR	MACCS	F1 Score	LogisticRegression	0.40614	0.08265
ROR	MACCS	F1 Score	RandomForestClassifier	0.55787	0.05637
ROR	MACCS	F1 Score	XGBClassifier	0.4848	0.06109
ROR	MACCS	GeomRS	LogisticRegression	0.46416	0.04991
ROR	MACCS	GeomRS	RandomForestClassifier	0.51785	0.02908
ROR	MACCS	GeomRS	XGBClassifier	0.50523	0.03404
ROR	MACCS	HarmRS	LogisticRegression	0.42437	0.07754
ROR	MACCS	HarmRS	RandomForestClassifier	0.51265	0.03065
ROR	MACCS	HarmRS	XGBClassifier	0.48979	0.04628
ROR	MACCS	MCC	LogisticRegression	0.02501	0.04294
ROR	MACCS	MCC	RandomForestClassifier	0.04638	0.05651
ROR	MACCS	MCC	XGBClassifier	0.04403	0.04974
ROR	MACCS	PRC AUC	LogisticRegression	0.58815	0.03582
ROR	MACCS	PRC AUC	RandomForestClassifier	0.60813	0.03514
ROR	MACCS	PRC AUC	XGBClassifier	0.6105	0.04428
ROR	MACCS	Precision	LogisticRegression	0.59104	0.03871
ROR	MACCS	Precision	RandomForestClassifier	0.59517	0.0358
ROR	MACCS	Precision	XGBClassifier	0.59947	0.03961
ROR	MACCS	ROC AUC	LogisticRegression	0.51437	0.02934
ROR	MACCS	ROC AUC	RandomForestClassifier	0.53541	0.03492
ROR	MACCS	ROC AUC	XGBClassifier	0.53575	0.03492
ROR	MACCS	Recall	LogisticRegression	0.31835	0.09139
ROR	MACCS	Recall	RandomForestClassifier	0.52992	0.08274
ROR	MACCS	Recall	XGBClassifier	0.41134	0.07437
ROR	MACCS	Specificity	LogisticRegression	0.70509	0.08215
ROR	MACCS	Specificity	RandomForestClassifier	0.51639	0.0768
ROR	MACCS	Specificity	XGBClassifier	0.63222	0.06646
ROR	Morgan	Accuracy	LogisticRegression	0.51155	0.02826
ROR	Morgan	Accuracy	RandomForestClassifier	0.48205	0.02935
ROR	Morgan	Accuracy	XGBClassifier	0.5144	0.03085
ROR	Morgan	Balanced Accuracy	LogisticRegression	0.51631	0.02763
ROR	Morgan	Balanced Accuracy	RandomForestClassifier	0.51369	0.02046
ROR	Morgan	Balanced Accuracy	XGBClassifier	0.52876	0.02302
ROR	Morgan	Brier	LogisticRegression	0.31576	0.02296
ROR	Morgan	Brier	RandomForestClassifier	0.26922	0.0102
ROR	Morgan	Brier	XGBClassifier	0.27594	0.01553
ROR	Morgan	ECE	LogisticRegression	0.23023	0.04025
ROR	Morgan	ECE	RandomForestClassifier	0.14529	0.03351
ROR	Morgan	ECE	XGBClassifier	0.15559	0.03461
ROR	Morgan	F1 Score	LogisticRegression	0.53489	0.04813
ROR	Morgan	F1 Score	RandomForestClassifier	0.38778	0.07057
ROR	Morgan	F1 Score	XGBClassifier	0.50139	0.07207
ROR	Morgan	GeomRS	LogisticRegression	0.51026	0.03062
ROR	Morgan	GeomRS	RandomForestClassifier	0.45688	0.04202
ROR	Morgan	GeomRS	XGBClassifier	0.5132	0.03784
ROR	Morgan	HarmRS	LogisticRegression	0.50446	0.0355
ROR	Morgan	HarmRS	RandomForestClassifier	0.40838	0.06415
ROR	Morgan	HarmRS	XGBClassifier	0.4991	0.05406
ROR	Morgan	MCC	LogisticRegression	0.03235	0.05478
ROR	Morgan	MCC	RandomForestClassifier	0.03006	0.04673
ROR	Morgan	MCC	XGBClassifier	0.05778	0.04604
ROR	Morgan	PRC AUC	LogisticRegression	0.59594	0.03759
ROR	Morgan	PRC AUC	RandomForestClassifier	0.59539	0.03484
ROR	Morgan	PRC AUC	XGBClassifier	0.61356	0.03575
ROR	Morgan	Precision	LogisticRegression	0.59024	0.04374
ROR	Morgan	Precision	RandomForestClassifier	0.59654	0.04307
ROR	Morgan	Precision	XGBClassifier	0.6058	0.042
ROR	Morgan	ROC AUC	LogisticRegression	0.52532	0.03321
ROR	Morgan	ROC AUC	RandomForestClassifier	0.52529	0.02384
ROR	Morgan	ROC AUC	XGBClassifier	0.54141	0.0293
ROR	Morgan	Recall	LogisticRegression	0.49647	0.07567
ROR	Morgan	Recall	RandomForestClassifier	0.29292	0.0775
ROR	Morgan	Recall	XGBClassifier	0.43636	0.0941
ROR	Morgan	Specificity	LogisticRegression	0.53615	0.08564
ROR	Morgan	Specificity	RandomForestClassifier	0.73446	0.07231
ROR	Morgan	Specificity	XGBClassifier	0.62116	0.07807
ROR	RDKit	Accuracy	LogisticRegression	0.50225	0.03478
ROR	RDKit	Accuracy	RandomForestClassifier	0.53022	0.02679
ROR	RDKit	Accuracy	XGBClassifier	0.52908	0.02568
ROR	RDKit	Balanced Accuracy	LogisticRegression	0.52662	0.0256
ROR	RDKit	Balanced Accuracy	RandomForestClassifier	0.52781	0.02361
ROR	RDKit	Balanced Accuracy	XGBClassifier	0.5386	0.02343
ROR	RDKit	Brier	LogisticRegression	0.29902	0.01945
ROR	RDKit	Brier	RandomForestClassifier	0.25089	0.00528
ROR	RDKit	Brier	XGBClassifier	0.26523	0.00757
ROR	RDKit	ECE	LogisticRegression	0.20452	0.03657
ROR	RDKit	ECE	RandomForestClassifier	0.08384	0.0277
ROR	RDKit	ECE	XGBClassifier	0.12988	0.02319
ROR	RDKit	F1 Score	LogisticRegression	0.45186	0.07086
ROR	RDKit	F1 Score	RandomForestClassifier	0.56586	0.06079
ROR	RDKit	F1 Score	XGBClassifier	0.53277	0.04943
ROR	RDKit	GeomRS	LogisticRegression	0.49522	0.04146
ROR	RDKit	GeomRS	RandomForestClassifier	0.51658	0.02725
ROR	RDKit	GeomRS	XGBClassifier	0.53008	0.02505
ROR	RDKit	HarmRS	LogisticRegression	0.46697	0.06
ROR	RDKit	HarmRS	RandomForestClassifier	0.50586	0.03408
ROR	RDKit	HarmRS	XGBClassifier	0.5219	0.03009
ROR	RDKit	MCC	LogisticRegression	0.05546	0.05116
ROR	RDKit	MCC	RandomForestClassifier	0.05634	0.04798
ROR	RDKit	MCC	XGBClassifier	0.07768	0.04692
ROR	RDKit	PRC AUC	LogisticRegression	0.60148	0.03888
ROR	RDKit	PRC AUC	RandomForestClassifier	0.61205	0.0374
ROR	RDKit	PRC AUC	XGBClassifier	0.62825	0.04198
ROR	RDKit	Precision	LogisticRegression	0.6098	0.04061
ROR	RDKit	Precision	RandomForestClassifier	0.60073	0.03539
ROR	RDKit	Precision	XGBClassifier	0.61693	0.0393
ROR	RDKit	ROC AUC	LogisticRegression	0.53789	0.03472
ROR	RDKit	ROC AUC	RandomForestClassifier	0.54279	0.03177
ROR	RDKit	ROC AUC	XGBClassifier	0.55505	0.032
ROR	RDKit	Recall	LogisticRegression	0.36637	0.08769
ROR	RDKit	Recall	RandomForestClassifier	0.54668	0.10671
ROR	RDKit	Recall	XGBClassifier	0.47465	0.07389
ROR	RDKit	Specificity	LogisticRegression	0.68688	0.06789
ROR	RDKit	Specificity	RandomForestClassifier	0.50893	0.11227
ROR	RDKit	Specificity	XGBClassifier	0.60254	0.07576
