PT	Descriptors	Metric	Model	Mean	STD
Cred	Morgan	ROC AUC	RandomForestClassifier	0.55337	0.04236
Cred	Morgan	ROC AUC	XGBClassifier	0.56185	0.04099
Cred	Morgan	Recall	LogisticRegression	0.52951	0.09335
Cred	Morgan	Recall	RandomForestClassifier	0.49667	0.23147
Cred	Morgan	Recall	XGBClassifier	0.55191	0.14611
Cred	Morgan	Specificity	LogisticRegression	0.51989	0.09021
Cred	Morgan	Specificity	RandomForestClassifier	0.55662	0.23295
Cred	Morgan	Specificity	XGBClassifier	0.52336	0.14004
Cred	RDKit	Accuracy	LogisticRegression	0.54	0.04955
Cred	RDKit	Accuracy	RandomForestClassifier	0.5614	0.03849
Cred	RDKit	Accuracy	XGBClassifier	0.56073	0.03728
Cred	RDKit	Balanced Accuracy	LogisticRegression	0.54187	0.03322
Cred	RDKit	Balanced Accuracy	RandomForestClassifier	0.54443	0.0204
Cred	RDKit	Balanced Accuracy	XGBClassifier	0.55254	0.02466
Cred	RDKit	Brier	LogisticRegression	0.28399	0.02786
Cred	RDKit	Brier	RandomForestClassifier	0.24417	0.00941
Cred	RDKit	Brier	XGBClassifier	0.25613	0.01482
Cred	RDKit	ECE	LogisticRegression	0.18303	0.05098
Cred	RDKit	ECE	RandomForestClassifier	0.08816	0.03883
Cred	RDKit	ECE	XGBClassifier	0.12571	0.03537
Cred	RDKit	F1 Score	LogisticRegression	0.55944	0.10535
Cred	RDKit	F1 Score	RandomForestClassifier	0.61936	0.08121
Cred	RDKit	F1 Score	XGBClassifier	0.60532	0.07816
Cred	RDKit	GeomRS	LogisticRegression	0.51957	0.04425
Cred	RDKit	GeomRS	RandomForestClassifier	0.51731	0.04709
Cred	RDKit	GeomRS	XGBClassifier	0.53531	0.03421
Cred	RDKit	HarmRS	LogisticRegression	0.4991	0.05932
Cred	RDKit	HarmRS	RandomForestClassifier	0.49419	0.07414
Cred	RDKit	HarmRS	XGBClassifier	0.51939	0.04894
Cred	RDKit	MCC	LogisticRegression	0.08541	0.06596
Cred	RDKit	MCC	RandomForestClassifier	0.09251	0.04074
Cred	RDKit	MCC	XGBClassifier	0.10707	0.05013
Cred	RDKit	PRC AUC	LogisticRegression	0.64318	0.05899
Cred	RDKit	PRC AUC	RandomForestClassifier	0.66127	0.05023
Cred	RDKit	PRC AUC	XGBClassifier	0.67848	0.0485
Cred	RDKit	Precision	LogisticRegression	0.6414	0.05215
Cred	RDKit	Precision	RandomForestClassifier	0.63785	0.04393
Cred	RDKit	Precision	XGBClassifier	0.64812	0.04564
Cred	RDKit	ROC AUC	LogisticRegression	0.55647	0.0426
Cred	RDKit	ROC AUC	RandomForestClassifier	0.57254	0.03087
Cred	RDKit	ROC AUC	XGBClassifier	0.58316	0.03383
Cred	RDKit	Recall	LogisticRegression	0.51587	0.15996
Cred	RDKit	Recall	RandomForestClassifier	0.62101	0.14646
Cred	RDKit	Recall	XGBClassifier	0.58344	0.13415
Cred	RDKit	Specificity	LogisticRegression	0.56787	0.14815
Cred	RDKit	Specificity	RandomForestClassifier	0.46785	0.15063
Cred	RDKit	Specificity	XGBClassifier	0.52163	0.13594
Cvas	CDDD	Accuracy	LogisticRegression	0.51925	0.03568
Cvas	CDDD	Accuracy	RandomForestClassifier	0.56673	0.04219
Cvas	CDDD	Accuracy	XGBClassifier	0.55796	0.02829
Cvas	CDDD	Balanced Accuracy	LogisticRegression	0.52001	0.02821
Cvas	CDDD	Balanced Accuracy	RandomForestClassifier	0.53488	0.02204
Cvas	CDDD	Balanced Accuracy	XGBClassifier	0.5408	0.02196
Cvas	CDDD	Brier	LogisticRegression	0.30664	0.02172
Cvas	CDDD	Brier	RandomForestClassifier	0.24107	0.00951
Cvas	CDDD	Brier	XGBClassifier	0.25484	0.0094
Cvas	CDDD	ECE	LogisticRegression	0.22244	0.03421
Cvas	CDDD	ECE	RandomForestClassifier	0.0745	0.03153
Cvas	CDDD	ECE	XGBClassifier	0.11941	0.02305
Cvas	CDDD	F1 Score	LogisticRegression	0.54843	0.0746
Cvas	CDDD	F1 Score	RandomForestClassifier	0.63589	0.08779
Cvas	CDDD	F1 Score	XGBClassifier	0.6147	0.06732
Cvas	CDDD	GeomRS	LogisticRegression	0.51284	0.03204
Cvas	CDDD	GeomRS	RandomForestClassifier	0.49408	0.06493
Cvas	CDDD	GeomRS	XGBClassifier	0.52114	0.03635
Cvas	CDDD	HarmRS	LogisticRegression	0.50601	0.0379
Cvas	CDDD	HarmRS	RandomForestClassifier	0.46237	0.09864
Cvas	CDDD	HarmRS	XGBClassifier	0.50322	0.05415
Cvas	CDDD	MCC	LogisticRegression	0.03932	0.056
Cvas	CDDD	MCC	RandomForestClassifier	0.07475	0.04453
Cvas	CDDD	MCC	XGBClassifier	0.08308	0.04405
Cvas	CDDD	PRC AUC	LogisticRegression	0.6316	0.05564
Cvas	CDDD	PRC AUC	RandomForestClassifier	0.66108	0.05525
Cvas	CDDD	PRC AUC	XGBClassifier	0.66699	0.0533
Cvas	CDDD	Precision	LogisticRegression	0.61726	0.05329
Cvas	CDDD	Precision	RandomForestClassifier	0.62696	0.04286
Cvas	CDDD	Precision	XGBClassifier	0.6369	0.03942
Cvas	CDDD	ROC AUC	LogisticRegression	0.52932	0.03333
Cvas	CDDD	ROC AUC	RandomForestClassifier	0.56732	0.03498
Cvas	CDDD	ROC AUC	XGBClassifier	0.57088	0.03102
Cvas	CDDD	Recall	LogisticRegression	0.49843	0.09503
Cvas	CDDD	Recall	RandomForestClassifier	0.66024	0.15202
Cvas	CDDD	Recall	XGBClassifier	0.60606	0.11914
Cvas	CDDD	Specificity	LogisticRegression	0.5416	0.07933
Cvas	CDDD	Specificity	RandomForestClassifier	0.40953	0.15532
Cvas	CDDD	Specificity	XGBClassifier	0.47553	0.13812
Cvas	ChemBERTa	Accuracy	LogisticRegression	0.51098	0.04079
Cvas	ChemBERTa	Accuracy	RandomForestClassifier	0.54845	0.04607
Cvas	ChemBERTa	Accuracy	XGBClassifier	0.54183	0.03152
Cvas	ChemBERTa	Balanced Accuracy	LogisticRegression	0.50626	0.03322
Cvas	ChemBERTa	Balanced Accuracy	RandomForestClassifier	0.51805	0.02641
Cvas	ChemBERTa	Balanced Accuracy	XGBClassifier	0.52267	0.0228
Cvas	ChemBERTa	Brier	LogisticRegression	0.3182	0.03847
Cvas	ChemBERTa	Brier	RandomForestClassifier	0.24596	0.00984
Cvas	ChemBERTa	Brier	XGBClassifier	0.25961	0.00988
Cvas	ChemBERTa	ECE	LogisticRegression	0.23065	0.05961
Cvas	ChemBERTa	ECE	RandomForestClassifier	0.08788	0.026
Cvas	ChemBERTa	ECE	XGBClassifier	0.12842	0.02152
Cvas	ChemBERTa	F1 Score	LogisticRegression	0.55079	0.07446
Cvas	ChemBERTa	F1 Score	RandomForestClassifier	0.61609	0.09272
Cvas	ChemBERTa	F1 Score	XGBClassifier	0.60136	0.0703
Cvas	ChemBERTa	GeomRS	LogisticRegression	0.49844	0.03625
Cvas	ChemBERTa	GeomRS	RandomForestClassifier	0.48318	0.0598
Cvas	ChemBERTa	GeomRS	XGBClassifier	0.50492	0.03543
Cvas	ChemBERTa	HarmRS	LogisticRegression	0.49105	0.04197
Cvas	ChemBERTa	HarmRS	RandomForestClassifier	0.45557	0.08945
Cvas	ChemBERTa	HarmRS	XGBClassifier	0.48872	0.05186
Cvas	ChemBERTa	MCC	LogisticRegression	0.01266	0.06599
Cvas	ChemBERTa	MCC	RandomForestClassifier	0.03783	0.05398
Cvas	ChemBERTa	MCC	XGBClassifier	0.04575	0.04542
Cvas	ChemBERTa	PRC AUC	LogisticRegression	0.61356	0.04488
Cvas	ChemBERTa	PRC AUC	RandomForestClassifier	0.62563	0.06485
Cvas	ChemBERTa	PRC AUC	XGBClassifier	0.63749	0.05888
Cvas	ChemBERTa	Precision	LogisticRegression	0.60365	0.04305
Cvas	ChemBERTa	Precision	RandomForestClassifier	0.61243	0.04754
Cvas	ChemBERTa	Precision	XGBClassifier	0.61935	0.04315
Cvas	ChemBERTa	ROC AUC	LogisticRegression	0.50694	0.04576
Cvas	ChemBERTa	ROC AUC	RandomForestClassifier	0.53465	0.03844
Cvas	ChemBERTa	ROC AUC	XGBClassifier	0.54202	0.03465
Cvas	ChemBERTa	Recall	LogisticRegression	0.51221	0.10005
Cvas	ChemBERTa	Recall	RandomForestClassifier	0.631	0.14581
Cvas	ChemBERTa	Recall	XGBClassifier	0.59226	0.1106
Cvas	ChemBERTa	Specificity	LogisticRegression	0.5003	0.08816
Cvas	ChemBERTa	Specificity	RandomForestClassifier	0.40511	0.14039
Cvas	ChemBERTa	Specificity	XGBClassifier	0.45309	0.12141
Cvas	Klek	Accuracy	LogisticRegression	0.52589	0.038
Cvas	Klek	Accuracy	RandomForestClassifier	0.52735	0.05614
Cvas	Klek	Accuracy	XGBClassifier	0.5422	0.04252
Cvas	Klek	Balanced Accuracy	LogisticRegression	0.52022	0.03341
Cvas	Klek	Balanced Accuracy	RandomForestClassifier	0.52205	0.03101
Cvas	Klek	Balanced Accuracy	XGBClassifier	0.5345	0.02414
Cvas	Klek	Brier	LogisticRegression	0.29356	0.03269
Cvas	Klek	Brier	RandomForestClassifier	0.25619	0.01687
Cvas	Klek	Brier	XGBClassifier	0.26477	0.01634
Cvas	Klek	ECE	LogisticRegression	0.19468	0.05518
Cvas	Klek	ECE	RandomForestClassifier	0.12487	0.03779
Cvas	Klek	ECE	XGBClassifier	0.14392	0.0296
Cvas	Klek	F1 Score	LogisticRegression	0.57328	0.06707
Cvas	Klek	F1 Score	RandomForestClassifier	0.54152	0.14263
Cvas	Klek	F1 Score	XGBClassifier	0.58022	0.10101
Cvas	Klek	GeomRS	LogisticRegression	0.51067	0.03842
Cvas	Klek	GeomRS	RandomForestClassifier	0.47673	0.05994
Cvas	Klek	GeomRS	XGBClassifier	0.51111	0.03997
Cvas	Klek	HarmRS	LogisticRegression	0.50167	0.04559
Cvas	Klek	HarmRS	RandomForestClassifier	0.43936	0.09015
Cvas	Klek	HarmRS	XGBClassifier	0.49012	0.05974
Cvas	Klek	MCC	LogisticRegression	0.03987	0.0664
Cvas	Klek	MCC	RandomForestClassifier	0.04715	0.06359
Cvas	Klek	MCC	XGBClassifier	0.07058	0.04849
Cvas	Klek	PRC AUC	LogisticRegression	0.62886	0.05812
Cvas	Klek	PRC AUC	RandomForestClassifier	0.64039	0.07513
Cvas	Klek	PRC AUC	XGBClassifier	0.65005	0.05932
Cvas	Klek	Precision	LogisticRegression	0.61742	0.05537
Cvas	Klek	Precision	RandomForestClassifier	0.61994	0.06368
Cvas	Klek	Precision	XGBClassifier	0.63113	0.05003
Cvas	Klek	ROC AUC	LogisticRegression	0.53051	0.04388
Cvas	Klek	ROC AUC	RandomForestClassifier	0.54607	0.0443
Cvas	Klek	ROC AUC	XGBClassifier	0.55636	0.03465
Cvas	Klek	Recall	LogisticRegression	0.54316	0.0998
Cvas	Klek	Recall	RandomForestClassifier	0.51642	0.21683
Cvas	Klek	Recall	XGBClassifier	0.55743	0.15813
Cvas	Klek	Specificity	LogisticRegression	0.49727	0.10299
Cvas	Klek	Specificity	RandomForestClassifier	0.52768	0.20538
Cvas	Klek	Specificity	XGBClassifier	0.51158	0.15193
Cvas	MACCS	Accuracy	LogisticRegression	0.521	0.04967
Cvas	MACCS	Accuracy	RandomForestClassifier	0.54885	0.04842
Cvas	MACCS	Accuracy	XGBClassifier	0.53981	0.04074
Cvas	MACCS	Balanced Accuracy	LogisticRegression	0.51598	0.03067
Cvas	MACCS	Balanced Accuracy	RandomForestClassifier	0.53019	0.03897
Cvas	MACCS	Balanced Accuracy	XGBClassifier	0.52916	0.02661
Cvas	MACCS	Brier	LogisticRegression	0.2763	0.02497
Cvas	MACCS	Brier	RandomForestClassifier	0.24773	0.01129
Cvas	MACCS	Brier	XGBClassifier	0.26193	0.01597
Cvas	MACCS	ECE	LogisticRegression	0.16533	0.04279
Cvas	MACCS	ECE	RandomForestClassifier	0.09659	0.02414
Cvas	MACCS	ECE	XGBClassifier	0.13921	0.03011
Cvas	MACCS	F1 Score	LogisticRegression	0.53532	0.13826
Cvas	MACCS	F1 Score	RandomForestClassifier	0.61167	0.07534
Cvas	MACCS	F1 Score	XGBClassifier	0.57771	0.10155
Cvas	MACCS	GeomRS	LogisticRegression	0.47839	0.06005
Cvas	MACCS	GeomRS	RandomForestClassifier	0.51398	0.04695
Cvas	MACCS	GeomRS	XGBClassifier	0.507	0.03961
Cvas	MACCS	HarmRS	LogisticRegression	0.44702	0.08797
Cvas	MACCS	HarmRS	RandomForestClassifier	0.49953	0.06149
Cvas	MACCS	HarmRS	XGBClassifier	0.48675	0.05613
Cvas	MACCS	MCC	LogisticRegression	0.03188	0.06159
Cvas	MACCS	MCC	RandomForestClassifier	0.06157	0.07812
Cvas	MACCS	MCC	XGBClassifier	0.05917	0.05331
Cvas	MACCS	PRC AUC	LogisticRegression	0.62403	0.05984
Cvas	MACCS	PRC AUC	RandomForestClassifier	0.64583	0.061
Cvas	MACCS	PRC AUC	XGBClassifier	0.64824	0.05658
Cvas	MACCS	Precision	LogisticRegression	0.61413	0.05451
Cvas	MACCS	Precision	RandomForestClassifier	0.62287	0.05649
Cvas	MACCS	Precision	XGBClassifier	0.62554	0.05127
Cvas	MACCS	ROC AUC	LogisticRegression	0.52721	0.04035
Cvas	MACCS	ROC AUC	RandomForestClassifier	0.55039	0.04799
Cvas	MACCS	ROC AUC	XGBClassifier	0.5506	0.03624
Cvas	MACCS	Recall	LogisticRegression	0.5037	0.19252
Cvas	MACCS	Recall	RandomForestClassifier	0.60816	0.11354
Cvas	MACCS	Recall	XGBClassifier	0.5532	0.1533
Cvas	MACCS	Specificity	LogisticRegression	0.52826	0.18875
Cvas	MACCS	Specificity	RandomForestClassifier	0.45221	0.10467
Cvas	MACCS	Specificity	XGBClassifier	0.50511	0.14819
Cvas	Morgan	Accuracy	LogisticRegression	0.52227	0.04185
Cvas	Morgan	Accuracy	RandomForestClassifier	0.52682	0.05832
Cvas	Morgan	Accuracy	XGBClassifier	0.53979	0.04892
Cvas	Morgan	Balanced Accuracy	LogisticRegression	0.51813	0.03768
Cvas	Morgan	Balanced Accuracy	RandomForestClassifier	0.52149	0.02911
Cvas	Morgan	Balanced Accuracy	XGBClassifier	0.5295	0.03192
Cvas	Morgan	Brier	LogisticRegression	0.30324	0.03747
Cvas	Morgan	Brier	RandomForestClassifier	0.25522	0.01851
Cvas	Morgan	Brier	XGBClassifier	0.26455	0.01999
Cvas	Morgan	ECE	LogisticRegression	0.21794	0.05983
Cvas	Morgan	ECE	RandomForestClassifier	0.11771	0.04794
Cvas	Morgan	ECE	XGBClassifier	0.14189	0.0398
Cvas	Morgan	F1 Score	LogisticRegression	0.5704	0.06098
Cvas	Morgan	F1 Score	RandomForestClassifier	0.53301	0.15707
Cvas	Morgan	F1 Score	XGBClassifier	0.58153	0.09968
Cvas	Morgan	GeomRS	LogisticRegression	0.51151	0.03909
Cvas	Morgan	GeomRS	RandomForestClassifier	0.46689	0.06436
Cvas	Morgan	GeomRS	XGBClassifier	0.50799	0.04206
Cvas	Morgan	HarmRS	LogisticRegression	0.50512	0.04193
Cvas	Morgan	HarmRS	RandomForestClassifier	0.42244	0.09749
Cvas	Morgan	HarmRS	XGBClassifier	0.48846	0.05823
Cvas	Morgan	MCC	LogisticRegression	0.03565	0.07392
Cvas	Morgan	MCC	RandomForestClassifier	0.04577	0.06169
Cvas	Morgan	MCC	XGBClassifier	0.0607	0.0659
Cvas	Morgan	PRC AUC	LogisticRegression	0.62704	0.05425
Cvas	Morgan	PRC AUC	RandomForestClassifier	0.64149	0.07122
Cvas	Morgan	PRC AUC	XGBClassifier	0.65105	0.0594
Cvas	Morgan	Precision	LogisticRegression	0.61539	0.05757
Cvas	Morgan	Precision	RandomForestClassifier	0.61836	0.0558
Cvas	Morgan	Precision	XGBClassifier	0.62509	0.05049
Cvas	Morgan	ROC AUC	LogisticRegression	0.52964	0.04688
Cvas	Morgan	ROC AUC	RandomForestClassifier	0.54217	0.04934
Cvas	Morgan	ROC AUC	XGBClassifier	0.553	0.04527
Cvas	Morgan	Recall	LogisticRegression	0.53807	0.0861
Cvas	Morgan	Recall	RandomForestClassifier	0.51044	0.23591
Cvas	Morgan	Recall	XGBClassifier	0.56098	0.15365
Cvas	Morgan	Specificity	LogisticRegression	0.49818	0.09126
Cvas	Morgan	Specificity	RandomForestClassifier	0.53254	0.22266
Cvas	Morgan	Specificity	XGBClassifier	0.49803	0.14336
Cvas	RDKit	Accuracy	LogisticRegression	0.53938	0.05378
Cvas	RDKit	Accuracy	RandomForestClassifier	0.55174	0.03941
Cvas	RDKit	Accuracy	XGBClassifier	0.55682	0.03566
Cvas	RDKit	Balanced Accuracy	LogisticRegression	0.53763	0.0383
Cvas	RDKit	Balanced Accuracy	RandomForestClassifier	0.52716	0.02591
Cvas	RDKit	Balanced Accuracy	XGBClassifier	0.54439	0.02306
Cvas	RDKit	Brier	LogisticRegression	0.28374	0.02803
Cvas	RDKit	Brier	RandomForestClassifier	0.24586	0.01006
Cvas	RDKit	Brier	XGBClassifier	0.25872	0.01307
Cvas	RDKit	ECE	LogisticRegression	0.18338	0.05295
Cvas	RDKit	ECE	RandomForestClassifier	0.0866	0.03029
Cvas	RDKit	ECE	XGBClassifier	0.12554	0.03043
Cvas	RDKit	F1 Score	LogisticRegression	0.56134	0.11339
Cvas	RDKit	F1 Score	RandomForestClassifier	0.62306	0.07123
Cvas	RDKit	F1 Score	XGBClassifier	0.60691	0.07794
Cvas	RDKit	GeomRS	LogisticRegression	0.51477	0.04826
Cvas	RDKit	GeomRS	RandomForestClassifier	0.50069	0.04447
Cvas	RDKit	GeomRS	XGBClassifier	0.52563	0.0338
Cvas	RDKit	HarmRS	LogisticRegression	0.49408	0.06354
Cvas	RDKit	HarmRS	RandomForestClassifier	0.47787	0.06896
Cvas	RDKit	HarmRS	XGBClassifier	0.50843	0.04994
Cvas	RDKit	MCC	LogisticRegression	0.07736	0.07749
Cvas	RDKit	MCC	RandomForestClassifier	0.05675	0.05248
Cvas	RDKit	MCC	XGBClassifier	0.09083	0.04681
Cvas	RDKit	PRC AUC	LogisticRegression	0.6392	0.05743
Cvas	RDKit	PRC AUC	RandomForestClassifier	0.64743	0.0588
Cvas	RDKit	PRC AUC	XGBClassifier	0.66446	0.05337
Cvas	RDKit	Precision	LogisticRegression	0.63649	0.05197
Cvas	RDKit	Precision	RandomForestClassifier	0.62067	0.0477
Cvas	RDKit	Precision	XGBClassifier	0.63919	0.04289
Cvas	RDKit	ROC AUC	LogisticRegression	0.5518	0.04898
Cvas	RDKit	ROC AUC	RandomForestClassifier	0.55195	0.03814
Cvas	RDKit	ROC AUC	XGBClassifier	0.56944	0.03373
Cvas	RDKit	Recall	LogisticRegression	0.52307	0.16539
Cvas	RDKit	Recall	RandomForestClassifier	0.63634	0.12175
Cvas	RDKit	Recall	XGBClassifier	0.5923	0.13429
Cvas	RDKit	Specificity	LogisticRegression	0.55219	0.15046
Cvas	RDKit	Specificity	RandomForestClassifier	0.41797	0.12315
Cvas	RDKit	Specificity	XGBClassifier	0.49649	0.13483
