Stratification	Sub-category	Metric	Value
Weight	Average	HarmRS	0.50556
Weight	Unknown	HarmRS	0.44866
Weight	Average	HarmRS	0.50586
Weight	Low	HarmRS	0.44431
Weight	High	HarmRS	0.49102
Weight	Unknown	HarmRS	0.44519
Weight	Average	HarmRS	0.48644
Weight	Low	HarmRS	0.4439
Weight	High	HarmRS	0.4441
Weight	Unknown	HarmRS	0.43315
Weight	Average	HarmRS	0.47165
Weight	Low	HarmRS	0.49744
Weight	High	HarmRS	0.32295
Weight	Unknown	HarmRS	0.52135
Weight	Average	HarmRS	0.47385
Weight	Low	HarmRS	0.4635
Weight	High	HarmRS	0.33013
Weight	Unknown	HarmRS	0.50286
Weight	Average	HarmRS	0.56869
Weight	Low	HarmRS	0.55987
Weight	Unknown	HarmRS	0.46674
Weight	High	HarmRS	0.46064
Weight	Average	HarmRS	0.53715
Weight	Low	HarmRS	0.53791
Weight	Unknown	HarmRS	0.44998
Weight	High	HarmRS	0.47362
Weight	High	ROC AUC	0.52348
Weight	Low	ROC AUC	0.48125
Weight	Average	ROC AUC	0.50077
Weight	Unknown	ROC AUC	0.58857
Weight	High	ROC AUC	0.51787
Weight	Low	ROC AUC	0.51748
Weight	Average	ROC AUC	0.48782
Weight	Unknown	ROC AUC	0.57784
Weight	High	ROC AUC	0.53133
Weight	Low	ROC AUC	0.56947
Weight	Average	ROC AUC	0.54893
Weight	Unknown	ROC AUC	0.58522
Weight	High	ROC AUC	0.55698
Weight	Low	ROC AUC	0.57166
Weight	Average	ROC AUC	0.53799
Weight	Unknown	ROC AUC	0.58864
Weight	Average	ROC AUC	0.53598
Weight	Low	ROC AUC	0.4986
Weight	High	ROC AUC	0.59596
Weight	Unknown	ROC AUC	0.59802
Weight	Average	ROC AUC	0.50571
Weight	Low	ROC AUC	0.485
Weight	High	ROC AUC	0.56088
Weight	Unknown	ROC AUC	0.57533
Weight	Average	ROC AUC	0.50294
Weight	Low	ROC AUC	0.49995
Weight	High	ROC AUC	0.51379
Weight	Unknown	ROC AUC	0.58269
